Metric,Value
Mean Absolute Error (MAE),80.90 MW
Root Mean Square Error (RMSE),167.13 MW
R² Score,0.9713
Mean Error (Bias),-8.09 MW
Median Absolute Error,0.75 MW
Max Absolute Error,1065.84 MW
Min Absolute Error,0.00 MW
Std Dev of Errors,166.94 MW
Mean Percentage Error,-11.24%
Mean Absolute Percentage Error (MAPE),19.95%
Number of Samples,336
Actual Mean,661.31 MW
Actual Std Dev,986.44 MW
Predicted Mean,653.21 MW
Predicted Std Dev,1000.03 MW
