Metric,Forecast Weather,Actual Weather
Mean Absolute Error (MAE),515.36 MW,425.98 MW
Root Mean Square Error (RMSE),1032.29 MW,857.08 MW
R² Score,0.4628,0.6297
Mean Error (Bias),-431.49 MW,-394.14 MW
Median Absolute Error,0.00 MW,0.00 MW
Std Dev of Errors,937.79 MW,761.08 MW
