Metric,Value
Mean Absolute Error (MAE),47.82 MW
Root Mean Square Error (RMSE),100.19 MW
R² Score,0.8957
Mean Error (Bias),27.22 MW
Median Absolute Error,0.25 MW
Max Absolute Error,473.26 MW
Min Absolute Error,0.00 MW
Std Dev of Errors,96.42 MW
Mean Percentage Error,-6.13%
Mean Absolute Percentage Error (MAPE),25.85%
Number of Samples,336
Actual Mean,202.07 MW
Actual Std Dev,310.16 MW
Predicted Mean,229.29 MW
Predicted Std Dev,371.68 MW
